Circular algorithm data and results,,,,,,,
Data:,,,,,,,
,100,,100s,,50,,50s
,100,,100,,50.01,,50.01
,100,,100,,50,,50
,100,,99.99,,50,,50
,100,,100,,50,,50
,100,,100,,50,,50
,100,,100,,50,,50
,100,,100,,50,,50
,100,,99.99,,50,,50
,100,,99.99,,50,,50
,,,,,,,
,,,,,,,
Mass,#NAME?,Diff,Uncert,,,,
100,100s,0.002,0.003439094,,,,
Coefficient,Value,,,,,,
d_1,-0.001363636,,,,,,
d_2,0.000151515,,,,,,
Residual : 0.00336349986073,,,,,,,
