Circular algorithm data and results
Mass positions:
,20,,20s,,20d
0,20.000004,1,20.000031,2,20.000032
4,20.000006,5,20.000031,6,20.00003
8,20.000007,9,20.000032,10,20.000032
11,20.000007,12,20.000032,13,20.000032

Mass,-Mass,Diff,Uncert
"[u'20s', u'20d', -2.5322222239054781e-05, 5.126185499400932e-07]","[u'20s', u'20', -2.514444443235675e-05, 5.5727511653947072e-07]","[u'20d', u'20', 1.7777780669803178e-07, 6.1609082218766785e-07]"
Coefficient,Value
"['d_1', 1.7777777761018854e-07]"
Residual : [8.4656167322349045e-07]
