Circular algorithm data and results
Data:
,100,,100s,,50-50s
0.0,109.086371855,0.0299999992053,106.428622215,0.0601833343506,113.114374903
0.0901833335559,117.442247338,0.120183332761,117.569979812,0.150200001399,121.750949195
0.180200000604,123.597515193,0.210216665268,123.940274852,0.240416665872,116.854764655
0.270416665077,121.679434037,0.300416668256,117.078906523,0.33043333292,116.455163638
0.360433332125,113.978585041,0.390450000763,120.867844099,0.420616666476,120.889084213
0.45063333114,122.769395251,0.480633334319,125.770820777,0.510649998983,125.387954499
0.540649998188,131.333909529,0.570650001367,126.809294772,0.600666666031,124.135106866
0.630666665236,121.711967518,0.660683333874,119.071103937,0.690683333079,119.416836833
0.720699997743,118.339830277,0.750700000922,109.379999019,0.780716665586,108.008222825
0.810833334923,110.179247743,0.840833334128,111.270408005,0.870849998792,109.532033482
0.900849997997,109.146975578,0.930866666635,103.832524596,0.96086666584,107.032106323
0.990883334478,107.25387141,1.02088333368,105.368644435,1.05089999835,100.629557687
1.08090000153,101.304239306,1.11091666619,101.921004805,1.1409166654,101.126110543
1.1709166646,101.996007754,1.20093333324,101.433094544,1.23093333244,100.335024958
1.26095000108,107.04459361,1.29095000029,102.133429804,1.32096666495,104.049700173
1.35096666813,104.727914161,1.38103333314,110.000051757,1.41119999886,107.923264752
1.44121666749,104.394674994,1.4712166667,100.002427348,1.50123333136,99.8715177867
1.53123333454,96.6612506036,1.56124999921,100.459967437,1.59124999841,107.000239817
1.62125000159,99.949415663,1.65126666625,98.9720968437,1.68126666546,102.817300393
1.71129999955,99.545038895,1.74129999876,99.9626303043,1.77129999797,103.388479277

Mass,-Mass,Diff,Uncert
"[u'100', u'100s', 3.0073748909229181, 2.2378936066310509]","[u'100', u'50-50s', 2.8493964308880066, 2.2877313561067782]","[u'100s', u'50-50s', -0.15797846003491145, 2.436271007243568]"
"[u'100', u'100s', -0.084232373495069623, 27.561155163270197]","[u'100', u'50-50s', 0.47723435312138918, 27.541395434253289]","[u'100s', u'50-50s', 0.5614667266164588, 27.614465557125072]"
"[u'100', u'100s', 2.8964507907967914, 8.9277209659313606]","[u'100', u'50-50s', 3.1879865430913696, 9.0777012474562024]","[u'100s', u'50-50s', 0.29153575229457829, 9.2354584985314414]"
"[u'100', u'100s', 0.52440531475622265, 131.50762282944535]","[u'100', u'50-50s', 1.8420671823423618, 131.47792632908696]","[u'100s', u'50-50s', 1.3176618675861391, 131.5255191701975]"
"[u'100', u'100s', 0.21609380709330139, 17.189869551988309]","[u'100', u'50-50s', -3.2762207494771189, 17.349676147942176]","[u'100s', u'50-50s', -3.4923145565704203, 17.514047350283327]"
Coefficient,Value
"['d_1', 4.705627877971402]","['d_2', -0.33951992422973332]"
"['d_1', 423.56731512340889]","['d_2', -395.29039060881109]"
"['d_1', -29.017183890485214]"
"['d_1', -217.66758512028764]","['d_2', 96.908214920772934]"
"['d_1', -2.4066898721180223]"
"Residual : [1.353185939935259, 2.3441280829942857, 1.6685220245984684]"
